datetime,open,high,low,close,volume
2025-06-02 04:50:00,2498.98,2498.99,2487.7,2487.99,2813.6637
2025-06-02 04:55:00,2488.0,2492.6,2488.0,2492.59,897.6022
2025-06-02 05:00:00,2492.59,2493.84,2486.68,2490.0,1067.4168
2025-06-02 05:05:00,2490.01,2496.53,2490.0,2496.42,775.8777
2025-06-02 05:10:00,2496.42,2497.09,2495.44,2495.54,569.8187
2025-06-02 05:15:00,2495.53,2497.24,2490.23,2490.33,623.2137
2025-06-02 05:20:00,2490.33,2493.03,2489.2,2492.58,665.642
2025-06-02 05:25:00,2492.59,2495.18,2491.8,2494.63,986.5519
2025-06-02 05:30:00,2494.62,2494.91,2487.5,2489.85,1032.9238
2025-06-02 05:35:00,2489.86,2489.86,2486.66,2487.68,735.6903
2025-06-02 05:40:00,2487.69,2490.21,2486.6,2486.6,586.1112
2025-06-02 05:45:00,2486.6,2492.04,2483.37,2490.67,1649.9489
2025-06-02 05:50:00,2490.67,2492.02,2489.37,2491.05,398.0863
2025-06-02 05:55:00,2491.06,2493.15,2491.05,2492.91,592.5624
2025-06-02 06:00:00,2492.9,2499.77,2491.2,2498.48,2796.5038
2025-06-02 06:05:00,2498.47,2498.47,2493.2,2493.4,551.7889
2025-06-02 06:10:00,2493.4,2493.4,2487.36,2489.28,847.3199
2025-06-02 06:15:00,2489.28,2489.66,2485.0,2487.18,1805.5727
2025-06-02 06:20:00,2487.19,2491.84,2487.18,2491.83,758.2687
2025-06-02 06:25:00,2491.83,2495.65,2491.82,2494.41,1274.3726
2025-06-02 06:30:00,2494.42,2496.31,2493.21,2493.52,949.5959
2025-06-02 06:35:00,2493.52,2493.52,2488.1,2492.04,974.4989
2025-06-02 06:40:00,2492.05,2499.34,2491.05,2498.79,1150.6258
2025-06-02 06:45:00,2498.79,2500.0,2496.23,2496.97,1305.0211
2025-06-02 06:50:00,2496.98,2499.05,2496.0,2496.23,598.9492
2025-06-02 06:55:00,2496.23,2496.23,2493.59,2494.79,880.5967
2025-06-02 07:00:00,2494.8,2505.2,2494.8,2503.56,1311.7978
2025-06-02 07:05:00,2503.57,2505.96,2502.0,2504.06,1559.6578
2025-06-02 07:10:00,2504.06,2507.38,2503.0,2505.59,994.7439
2025-06-02 07:15:00,2505.59,2513.97,2504.69,2511.99,1652.0403
2025-06-02 07:20:00,2511.98,2512.12,2507.75,2509.18,489.154
2025-06-02 07:25:00,2509.18,2510.0,2501.31,2502.99,1669.4296
2025-06-02 07:30:00,2502.99,2506.49,2501.52,2505.29,1367.0406
2025-06-02 07:35:00,2505.29,2505.66,2500.0,2505.15,877.1057
2025-06-02 07:40:00,2505.15,2507.89,2502.99,2507.55,1387.0106
2025-06-02 07:45:00,2507.55,2507.7,2503.26,2505.49,770.521
2025-06-02 07:50:00,2505.49,2509.0,2505.39,2507.28,974.3819
2025-06-02 07:55:00,2507.29,2507.29,2505.07,2506.94,310.5634
2025-06-02 08:00:00,2506.94,2508.81,2503.65,2507.49,1359.025
2025-06-02 08:05:00,2507.5,2512.0,2507.06,2507.45,1684.2096
2025-06-02 08:10:00,2507.49,2509.44,2505.61,2508.13,733.1598
2025-06-02 08:15:00,2508.13,2509.2,2505.04,2505.05,908.0642
2025-06-02 08:20:00,2505.04,2510.21,2503.4,2509.1,844.3697
2025-06-02 08:25:00,2509.09,2514.84,2508.09,2513.2,1582.3468
2025-06-02 08:30:00,2513.21,2515.92,2510.19,2510.19,915.0658
2025-06-02 08:35:00,2510.19,2510.19,2504.3,2505.29,1259.2612
2025-06-02 08:40:00,2505.34,2506.29,2498.24,2500.04,1905.174
2025-06-02 08:45:00,2500.04,2503.1,2497.5,2499.68,1300.7492
2025-06-02 08:50:00,2499.67,2499.67,2490.1,2492.28,2037.8542
2025-06-02 08:55:00,2492.27,2496.8,2492.0,2494.58,1312.8984
2025-06-02 09:00:00,2494.57,2494.94,2487.18,2491.51,2161.1713
2025-06-02 09:05:00,2491.51,2492.0,2484.0,2489.01,3932.7419
