datetime,open,high,low,close,volume
2025-06-02 04:50:00,2.1736,2.1738,2.1677,2.1678,338203.2
2025-06-02 04:55:00,2.1678,2.1715,2.1678,2.1695,170675.9
2025-06-02 05:00:00,2.1695,2.1711,2.1674,2.1693,331975.8
2025-06-02 05:05:00,2.1693,2.1749,2.1692,2.1748,340327.1
2025-06-02 05:10:00,2.1749,2.1755,2.1721,2.1747,257902.0
2025-06-02 05:15:00,2.1746,2.1755,2.1704,2.1711,232487.6
2025-06-02 05:20:00,2.171,2.1733,2.1704,2.1711,174560.5
2025-06-02 05:25:00,2.1711,2.1739,2.1708,2.173,219142.0
2025-06-02 05:30:00,2.1731,2.1748,2.169,2.1708,372210.3
2025-06-02 05:35:00,2.1707,2.1717,2.168,2.1685,421471.9
2025-06-02 05:40:00,2.1686,2.1695,2.166,2.166,219215.7
2025-06-02 05:45:00,2.166,2.1718,2.1644,2.1717,497157.8
2025-06-02 05:50:00,2.1718,2.1718,2.1666,2.1669,212214.1
2025-06-02 05:55:00,2.1668,2.1699,2.1666,2.1691,393908.2
2025-06-02 06:00:00,2.1692,2.1734,2.1672,2.1673,1556987.4
2025-06-02 06:05:00,2.1672,2.1681,2.1644,2.1647,409182.2
2025-06-02 06:10:00,2.1648,2.1651,2.161,2.1616,430403.4
2025-06-02 06:15:00,2.1616,2.1618,2.1574,2.1575,451101.4
2025-06-02 06:20:00,2.1574,2.163,2.1574,2.1629,303076.9
2025-06-02 06:25:00,2.1629,2.1653,2.1628,2.1639,200354.7
2025-06-02 06:30:00,2.164,2.1663,2.1632,2.1662,299488.6
2025-06-02 06:35:00,2.1663,2.1663,2.1632,2.1653,429973.4
2025-06-02 06:40:00,2.1653,2.1709,2.1648,2.1699,499403.7
2025-06-02 06:45:00,2.1699,2.1701,2.1672,2.1674,641546.5
2025-06-02 06:50:00,2.1674,2.169,2.1662,2.1673,467009.1
2025-06-02 06:55:00,2.1674,2.1685,2.1652,2.1671,366591.1
2025-06-02 07:00:00,2.167,2.1729,2.1665,2.1719,430195.0
2025-06-02 07:05:00,2.1718,2.1725,2.1693,2.1702,352508.6
2025-06-02 07:10:00,2.1702,2.1728,2.1698,2.1706,324311.8
2025-06-02 07:15:00,2.1706,2.1794,2.1705,2.1788,582753.2
2025-06-02 07:20:00,2.1787,2.1788,2.1761,2.1772,260830.7
2025-06-02 07:25:00,2.1771,2.1772,2.1696,2.1702,529682.4
2025-06-02 07:30:00,2.1703,2.1729,2.1698,2.1699,296580.5
2025-06-02 07:35:00,2.1698,2.1699,2.1666,2.1686,433533.4
2025-06-02 07:40:00,2.1687,2.1696,2.1664,2.169,330609.7
2025-06-02 07:45:00,2.1689,2.1689,2.1642,2.1657,384505.6
2025-06-02 07:50:00,2.1657,2.1664,2.1644,2.1648,297508.8
2025-06-02 07:55:00,2.1647,2.1647,2.1616,2.1633,280447.5
2025-06-02 08:00:00,2.1633,2.166,2.1621,2.1648,312183.5
2025-06-02 08:05:00,2.1648,2.174,2.1648,2.171,1084536.6
2025-06-02 08:10:00,2.171,2.1759,2.171,2.1736,605289.1
2025-06-02 08:15:00,2.1736,2.1744,2.1691,2.17,256511.5
2025-06-02 08:20:00,2.17,2.1766,2.1694,2.1756,383977.3
2025-06-02 08:25:00,2.1756,2.1792,2.1749,2.1773,380105.0
2025-06-02 08:30:00,2.1773,2.1793,2.1743,2.1748,341526.7
2025-06-02 08:35:00,2.1748,2.176,2.1704,2.1708,276157.3
2025-06-02 08:40:00,2.1708,2.172,2.1693,2.1712,377427.9
2025-06-02 08:45:00,2.1711,2.1721,2.169,2.1706,207267.1
2025-06-02 08:50:00,2.1705,2.1705,2.1616,2.1635,296019.3
2025-06-02 08:55:00,2.1635,2.1652,2.1626,2.1632,382638.5
2025-06-02 09:00:00,2.1633,2.1637,2.1572,2.1582,498788.7
2025-06-02 09:05:00,2.1581,2.1581,2.1483,2.1509,1346067.3
2025-06-02 09:10:00,2.1508,2.1529,2.1485,2.1516,889070.6
2025-06-02 09:15:00,2.1517,2.1549,2.1491,2.1536,1014341.7
2025-06-02 09:20:00,2.1537,2.1563,2.1535,2.1559,331141.8
2025-06-02 09:25:00,2.1558,2.1561,2.1532,2.1543,211044.0
2025-06-02 09:30:00,2.1542,2.159,2.1513,2.1581,410876.9
2025-06-02 09:35:00,2.1581,2.1581,2.1525,2.1573,409243.6
2025-06-02 09:40:00,2.1573,2.1577,2.1535,2.1547,300066.6
2025-06-02 09:45:00,2.1547,2.156,2.152,2.1544,344558.2
2025-06-02 09:50:00,2.1543,2.1553,2.1494,2.155,340123.4
2025-06-02 09:55:00,2.1551,2.1564,2.1529,2.1531,294874.7
2025-06-02 10:00:00,2.1531,2.1538,2.1459,2.1463,729174.5
2025-06-02 10:05:00,2.1463,2.1566,2.1424,2.1563,1577387.6
2025-06-02 10:10:00,2.1564,2.1587,2.1551,2.1583,350807.7
2025-06-02 10:15:00,2.1583,2.1584,2.1494,2.1549,1033686.2
2025-06-02 10:20:00,2.1549,2.1549,2.1475,2.1479,366371.7
2025-06-02 10:25:00,2.1479,2.1515,2.1477,2.1485,369545.3
2025-06-02 10:30:00,2.1484,2.15,2.1445,2.1457,720563.1
2025-06-02 10:35:00,2.1457,2.1481,2.1422,2.1466,417381.0
2025-06-02 10:40:00,2.1466,2.1481,2.145,2.1455,219261.2
2025-06-02 10:45:00,2.1455,2.1482,2.1446,2.147,329713.0
2025-06-02 10:50:00,2.147,2.15,2.1454,2.1491,244950.2
2025-06-02 10:55:00,2.1492,2.1492,2.1462,2.1462,213524.3
2025-06-02 11:00:00,2.1462,2.1465,2.1417,2.1425,523298.5
2025-06-02 11:05:00,2.1426,2.1433,2.1386,2.142,515177.7
2025-06-02 11:10:00,2.1419,2.1496,2.1419,2.1459,295754.8
2025-06-02 11:15:00,2.1458,2.1467,2.1426,2.1427,299263.6
2025-06-02 11:20:00,2.1427,2.1432,2.1396,2.1399,384444.5
2025-06-02 11:25:00,2.14,2.142,2.1399,2.1407,436604.5
2025-06-02 11:30:00,2.1406,2.1427,2.14,2.141,318649.9
2025-06-02 11:35:00,2.141,2.1427,2.1389,2.1394,397773.0
2025-06-02 11:40:00,2.1394,2.1403,2.1362,2.1366,400386.8
2025-06-02 11:45:00,2.1365,2.1429,2.1357,2.1411,472166.5
2025-06-02 11:50:00,2.141,2.1426,2.1379,2.1426,314629.8
2025-06-02 11:55:00,2.1426,2.1437,2.1414,2.143,184858.3
2025-06-02 12:00:00,2.143,2.1499,2.1404,2.1407,973834.1
2025-06-02 12:05:00,2.1407,2.1436,2.1375,2.1416,309929.5
2025-06-02 12:10:00,2.1416,2.1439,2.1405,2.1426,136704.9
2025-06-02 12:15:00,2.1425,2.1427,2.1382,2.1396,230619.2
2025-06-02 12:20:00,2.1397,2.1407,2.1378,2.1398,109397.2
2025-06-02 12:25:00,2.1398,2.1459,2.1392,2.1453,238794.4
2025-06-02 12:30:00,2.1453,2.1494,2.144,2.1481,825356.5
2025-06-02 12:35:00,2.148,2.1507,2.1469,2.1496,224400.0
2025-06-02 12:40:00,2.1495,2.1531,2.1494,2.1513,163987.7
2025-06-02 12:45:00,2.1514,2.1522,2.1493,2.1501,311178.2
2025-06-02 12:50:00,2.1501,2.1513,2.1461,2.1505,260282.2
2025-06-02 12:55:00,2.1505,2.1523,2.1482,2.1522,159228.1
2025-06-02 13:00:00,2.1521,2.153,2.1493,2.1495,326556.7
2025-06-02 13:05:00,2.1494,2.1494,2.1435,2.1436,303848.1
2025-06-02 13:10:00,2.1436,2.1465,2.1425,2.1452,246337.0
2025-06-02 13:15:00,2.1451,2.1475,2.1417,2.1421,249625.3
2025-06-02 13:20:00,2.142,2.1437,2.1392,2.1397,253943.3
2025-06-02 13:25:00,2.1397,2.1469,2.1397,2.1438,580497.3
2025-06-02 13:30:00,2.1438,2.1527,2.1438,2.1508,756227.2
2025-06-02 13:35:00,2.1508,2.1555,2.1504,2.155,530146.4
2025-06-02 13:40:00,2.1551,2.1555,2.1484,2.1523,285790.5
2025-06-02 13:45:00,2.1524,2.1533,2.1451,2.1463,495544.0
2025-06-02 13:50:00,2.1462,2.1463,2.14,2.142,414546.3
2025-06-02 13:55:00,2.142,2.1433,2.1395,2.143,274745.6
2025-06-02 14:00:00,2.143,2.1472,2.1375,2.1444,1119496.5
2025-06-02 14:05:00,2.1444,2.1484,2.1402,2.146,438163.9
2025-06-02 14:10:00,2.1461,2.1481,2.1406,2.1474,519232.3
2025-06-02 14:15:00,2.1474,2.1498,2.1424,2.1484,295977.1
2025-06-02 14:20:00,2.1483,2.1545,2.1461,2.1498,805771.4
2025-06-02 14:25:00,2.1499,2.1579,2.1499,2.1543,513321.5
2025-06-02 14:30:00,2.1543,2.1585,2.1531,2.1581,210026.0
2025-06-02 14:35:00,2.1581,2.1596,2.1518,2.1518,557597.9
2025-06-02 14:40:00,2.1519,2.1543,2.1506,2.1518,214035.7
